test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
eps,0.0001,Big,QMEGS,84,10000,352440.4891818364,"[-0.22553265358979285, 0.2867523464102069, 0.555387346410207, 2.197082346410207]","[0.08213922335115595, 2.627262637126118, 0.018186374544340578, 3.451406706683757e-05]",
eps,0.0001,Big,TSRHSE,1600,10000,115284383.65363482,"[-2.740179459429283, -0.3757913283906845, 0.13909133382393982, 2.974440671246329]","[2.596786029190646, 0.054388962325226164, 2.4008669502917814, 0.14769552665333394]",
eps,0.0001,Big,QFAMES,1600,10000,115284383.65363482,"[0.28678734641020726, -0.4301776535897929, -0.6861576535897932, -2.454892653589793, 1.786647346410207]","[0.5427642233511563, 2.6371261178104177e-06, 1.2130736254556593, 4.859329335027418e-07]",[1 1 0 0 0]
T_max,100,None,QPE,4,87.63560920082658,164.31676725154983,0.14339343023863688,2.7755575615628914e-17,
T_max,100,None,KQPE,4,87.63560920082658,164.31676725154983,0.1433934302386369,0.0,
T_max,100,None,QMEGS,58,100,2353.2938186530414,"[-1.002092653589793, -0.145592653589793, 1.2769073464102068, 2.946907346410207]","[0.0021992233511561043, 0.5719123628738823, 0.7033336254556591, 2.6601204859329335]",
T_max,100,None,TSRHSE,1600,100,1152843.8365363488,"[-0.4346136501994191, -0.14680052587879705, 0.3030423710836489, 0.621582021180896]","[0.003407095640160146, 0.004433359483508426, 0.04800830022634839, 0.016255510606375145]",
T_max,100,None,QFAMES,1600,100,1152843.8365363488,"[0.28740734641020704, -0.43059265358979315, 0.5734073464102067, -0.144092653589793, -0.7390926535897934]","[0.000699223351156103, 0.00041236287388246584, 0.00016637454434087484, 0.0006204859329332901]",[1 1 1 1 0]
T_max,100,Small,QPE,4,87.63560920082658,164.31676725154983,0.2079204738460235,0.06452704360738659,
T_max,100,Small,KQPE,4,87.63560920082658,164.31676725154983,0.1433934302386369,0.0,
T_max,100,Small,QMEGS,58,100,2353.2938186530414,"[-2.666092653589793, -2.180092653589793, -0.147092653589793, 1.2419073464102066]","[0.0036992233511561057, 1.7499123628738824, 0.668333625455659, 2.9528795140670665]",
T_max,100,Small,TSRHSE,1600,100,1152843.8365363488,"[-1.4251358842884978, -0.47970333547395955, 0.26949043825749824, 32.88976382853864]","[1.281742454049861, 0.04952304475804886, 32.31619010758409, 0.01729642221977551]",
T_max,100,Small,QFAMES,1600,100,1152843.8365363488,"[0.5739073464102067, -0.14359265358979312, 0.28740734641020704, -0.4285926535897928, -0.09559265358979328]","[0.0001992233511562136, 0.001587637126117869, 0.0003336254556590701, 0.0006204859329332901]",[1 1 1 1 0]
T_max,100,Big,QPE,4,87.63560920082658,164.31676725154983,0.3427102982703423,0.19931686803170537,
T_max,100,Big,KQPE,4,87.63560920082658,164.31676725154983,0.4301802907159107,0.28678686047727375,
T_max,100,Big,QMEGS,58,100,2353.2938186530414,"[-3.032092653589793, -1.633592653589793, -0.5800926535897931, 0.28390734641020715]","[1.4901992233511563, 0.14991236287388243, 3.6056663745443407, 0.002879514067066602]",
