test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
T_max,400,Big,QFAMES,6400,400,75113430.6760654,"[0.3701573464102073, 0.280282346410207, 0.13103234641020683, 0.26815734641020683, 0.3822823464102068, 0.3582823464102067, 0.2924073464102074, 0.11928234641020712, 0.15015734641020667]","[0.6626475912567382, 0.15015734641020667, 8.289843632330873e-05, 0.8329505635996584, 1.789566518445307e-05, 0.33558875909529595, 0.0001326525106321308, 0.011617347489367588]",[1 1 1 0 0 0 0 0 0]
T_max,800,None,QPE,6,423.5841426675888,833.9312808768154,0.37079004453389774,0.0005497996873669586,
T_max,800,None,KQPE,6,423.5841426675888,833.9312808768154,0.3708345446792592,0.0005942998327284066,
T_max,800,None,QMEGS,70,800,22850.25456053869,"[-1.4263426535897932, -0.911905153589793, -0.8265301535897931, -0.36990515358979253, -0.03515515358979338, 0.018657346410207026, 0.20896984641020686, 0.5729698464102073]","[0.00033509125673825135, 0.01865734641020703, 0.2027296015636767, 0.3518619364003414, 0.07133039566518459, 0.032276259095295724, 1.0428048474893676, 1.557242347489368]",
T_max,800,None,TSRHSE,6400,800,150226861.3521308,"[-0.4940057891423195, -0.3777460761534016, -0.07341576653931306, -0.012162192600456206, 0.10875775659725703, 0.15127419688058802, 0.2745915788563857, 0.36701297172144776]","[0.007505831306870825, 0.012162192600456203, 0.0032272731250828635, 0.019337571952867838, 0.005708663219005761, 0.005984353854223953, 0.020374502981013315, 0.02214193730231767]",
T_max,800,None,QFAMES,6400,800,150226861.3521308,"[0.13090734641020685, -0.06740515358979282, -0.37021765358979286, 0.3702198464102068, -0.474655153589793, 0.28028234641020733, 9.484641020707945e-05, 0.1368448464102074, 0.12496984641020675]","[2.2591256737924947e-05, 9.484641020708367e-05, 2.0398436323842972e-05, 1.3063599658691416e-05, 1.7895665184120002e-05, 2.625909529628545e-05, 7.65251063214456e-06, 0.005929847489367951]",[2 1 1 1 1 1 1 0 0]
T_max,800,Small,QPE,6,423.5841426675888,833.9312808768154,0.2701900492533083,0.10005019559322248,
T_max,800,Small,KQPE,6,423.5841426675888,833.9312808768154,0.3708345446792592,0.0005942998327284066,
T_max,800,Small,QMEGS,70,800,22850.25456053869,"[0.2260948464102066, 0.27971984641020703, 0.9890323464102071, 1.051657346410207, 1.6601573464102066, 1.761407346410207, 2.2134698464102063, 3.0434073464102074]","[2.5837100912567372, 1.6601573464102066, 0.6187921015636765, 3.518075563599659, 0.0005803956651844189, 1.828838759095296, 0.0951951525106319, 0.9207576525106324]",
T_max,800,Small,TSRHSE,6400,800,150226861.3521308,"[-0.678922150198165, -0.39914288413744264, -0.15472302358180068, -0.08465446423210611, 0.13082989532022157, 0.24700768126373152, 0.380879307441231, 0.4452479969639888]","[0.028902639290911858, 0.15472302358180068, 0.010639062594700377, 0.20425393300871336, 0.03329256081165993, 0.017223051547017004, 6.979857935313083e-05, 0.3143483030644141]",
